Upper Body Warmups,ID,Name,Sets,Reps,Time,Alternating
,NeckNeckRetraction,Neck Retraction Stretch,2,10,0,0
,BackDoorway,Doorway Subscapularis Stretch,1,0,10,1
,ChestDoorway,Doorway Chest Stretch,1,0,10,1
,BackWall,Wall Lat Stretch,1,0,20,0
,ChestTowel,Resistance Band Girdle Stretch,3,10,0,0
,CustomStandAndReach,Stand and Reach,2,0,10,1
,NeckLyingIsometricNeckRetr,Lying Neck Retraction Isometric,2,0,10,0
,CustomQuadrupedThoracicRotation,Quadruped Thoracic Rotation,4,6,0,1
,ChestWall,Wall Shoulder Girdle Stretch,3,4,0,0
Upper Body Week 1 Day 1,ID,Name,Sets,Reps,Time,Alternating
,ShouldersDBArnoldPress,Dumbbell Arnold Press,4,6,0,0
,ShouldersDBLateralRaise,Dumbbell Lateral Raise,4,6,0,0
,ChestBBFloorPress,Floor Press,4,6,0,0
,ShouldersDBSeatedRearLateralRaise,Dumbbell Seated Rear Lateral Raise,4,6,0,0
,UpperArmsDBTriExt,Dumbbell Triceps Extension,3,8,0,0
,ForearmsDBHammerCurl,Dumbbell Hammer Curl,4,8,0,0
,CustomScarecrow,Scarecrow,2,15,0,0
,CustomForearmMachine,Forearm Machine,4,15,0,1
,NeckWtLyingNeckExtension,Weighted Lying Neck Extension,1,10,0,0
,NeckWtNeckLateralFlex,Weighted Lying Lateral Neck Flexion,2,10,0,1
,NeckWtLyingNeckFlexion,Weighted Lying Neck Flexion,1,10,0,0
Upper Body Week 1 Day 2,ID,Name,Sets,Reps,Time,Alternating
,ChestBWDeclinePushup,Decline Push-up,3,5,0,0
,BackDBBentOverRow,One Arm Dumbbell Bent-over Row,4,8,0,1
,ChestBWChestDip,Chest Dip,3,5,0,0
,BackBWUnderhandChinup,Chin-up,3,5,0,0
,UpperArmsDBTriExt,Dumbbell Triceps Extension,3,8,0,0
,BicepsDBCurl,Dumbbell Supine Bicep Curl,4,8,0,0
,CustomScarecrow,Scarecrow,2,15,0,0
,CustomForearmMachine,Forearm Machine,4,15,0,1
,NeckWtLyingNeckExtension,Weighted Lying Neck Extension,1,10,0,0
,NeckWtNeckLateralFlex,Weighted Lying Lateral Neck Flexion,2,10,0,1
,NeckWtLyingNeckFlexion,Weighted Lying Neck Flexion,1,10,0,0
Upper Body Week 2 Day 1,ID,Name,Sets,Reps,Time,Alternating
,ShouldersDBArnoldPress,Dumbbell Arnold Press,4,6,0,0
,BackDBShrug,Dumbbell Shrug,4,6,0,0
,ChestBWPushup,Push-up,3,10,0,0
,ShouldersDBSeatedRearLateralRaise,Dumbbell Seated Rear Lateral Raise,4,6,0,0
,UpperArmsDBTriExt,Dumbbell Triceps Extension,3,8,0,0
,ForearmsDBHammerCurl,Dumbbell Hammer Curl,4,8,0,0
,CustomScarecrow,Scarecrow,2,15,0,0
,CustomForearmMachine,Forearm Machine,4,15,0,1
,NeckWtLyingNeckExtension,Weighted Lying Neck Extension,1,10,0,0
,NeckWtNeckLateralFlex,Weighted Lying Lateral Neck Flexion,2,10,0,1
,NeckWtLyingNeckFlexion,Weighted Lying Neck Flexion,1,10,0,0
Upper Body Week 2 Day 2,ID,Name,Sets,Reps,Time,Alternating
,ChestBWInclinePushup,Incline Push-up,3,10,0,0
,BackDBBentOverRow,Two Arm Dumbbell Bent-over Row,4,6,0,0
,ChestDBInclineShoulderRaise,Dumbbell Incline Shoulder Raise,4,5,0,0
,BackBWUnderhandChinup,Chin-up,4,10,0,0
,UpperArmsDBTriExt,Dumbbell Triceps Extension,3,8,0,0
,BicepsDBCurl,Dumbbell Supine Bicep Curl,4,8,0,0
,CustomScarecrow,Scarecrow,2,15,0,0
,CustomForearmMachine,Forearm Machine,4,15,0,1
,NeckWtLyingNeckExtension,Weighted Lying Neck Extension,1,10,0,0
,NeckWtNeckLateralFlex,Weighted Lying Lateral Neck Flexion,2,10,0,1
,NeckWtLyingNeckFlexion,Weighted Lying Neck Flexion,1,10,0,0
Lower Body Warmups,ID,Name,Sets,Reps,Time,Alternating
,ThighsStanding,Standing Quadriceps Stretch,4,0,10,1
,HipsStanding,Standing Hip Flexor Stretch,4,0,10,1
,HipsSeated,Seated Glute Stretch (chair),4,0,10,1
,WaistSeatedBentover,Seated Bent-over Lower Back Stretch,1,0,20,0
,HipsKneelingHipFlexor,Kneeling Hip Flexor Stretch,4,0,10,1
,WaistCatMovement,Cat Movement,3,5,0,0
,HipsLyingModified,Lying Glute Stretch,4,0,5,1
,ThighsLyingSingleLeg,Lying Hamstring Stretch,2,0,10,1
,WaistProne,Lying (Prone) Abdominal Stretch,3,0,10,0
Core Week 1,ID,Name,Sets,Reps,Time,Alternating
,WaistBWAlternatingBirdDog,Alternating Bird Dog,4,5,0,1
,CustomMcGillCurlUp,McGill Curl Up,4,10,0,0
,WaistBWFrontPlank,Front Plank,4,0,10,0
,WaistBWCrunch,Ball Crunch,3,10,0,0
,HipsBWStraightLegRaise,Lying Straight Leg Raise,3,8,0,0
,WaistBWSidePlank,Side Plank,4,0,10,1
Core Week 2,ID,Name,Sets,Reps,Time,Alternating
,WaistBWAlternatingBirdDog,Alternating Bird Dog,4,5,0,1
,CustomMcGillCurlUp,McGill Curl Up,4,10,0,0
,WaistBWFrontPlank,Front Plank,4,0,10,0
,WaistBWCrunch,Ball Crunch,3,10,0,0
,WaistBWLyingLegHipRaise,Lying Leg-Hip Raise,3,5,0,0
,CustomLyingObliqueReach,Lying Oblique Reach,4,10,0,1
Lower Body Week 1,ID,Name,Sets,Reps,Time,Alternating
,HipsDBSquat,Dumbbell Squat,4,10,0,0
,HipsDBLunge,Dumbbell Lunge,4,10,0,1
,HipsBBHipThrust,Hip Thrust,4,10,0,0
,CustomClamshell,Clamshell,2,10,0,1
,CalvesBWStandingCalfRaise,Standing Calf Raise,3,15,0,0
,CalvesSMSeatedCalfRaise,Seated Calf Raise,2,10,0,0
Lower Body Week 2,ID,Name,Sets,Reps,Time,Alternating
,ThighsDBSingleLegStiffLegDeadlift,Dumbbell Single Leg Stiff-leg Deadlift,4,10,0,1
,HipsDBRearLunge,Dumbbell Rear Lunge,4,10,0,1
,HipsDBStepUp,Dumbbell Step-up,4,15,0,1
,HipsCBHipAbduction,Resistance Band Hip Abduction,2,10,0,1
,CalvesBWStandingCalfRaise,Standing Calf Raise,3,15,0,0
,CalvesSMSeatedCalfRaise,Seated Calf Raise,2,10,0,0
